min,mean,max,learning_rate,inertia,ff,opt,sp
[ 0.06190907],[ 0.1302028],[ 0.36257699],0.040000000000000001,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.12636978],[ 0.33224966],0.040000000000000001,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.12068809],[ 0.29113231],0.040000000000000001,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.1130207],[ 0.24252938],0.040000000000000001,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.10379369],[ 0.19353837],0.040000000000000001,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.09399404],[ 0.15123693],0.040000000000000001,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 1.29244036],[ 5.14783941],0.071131176401556917,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 1.28002455],[ 5.16374114],0.071131176401556917,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 1.22816687],[ 5.17243249],0.071131176401556917,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.00935175],[ 1.25643374],[ 5.16384085],0.071131176401556917,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.06567841],[ 1.42850956],[ 5.17284929],0.071131176401556917,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 1.16342172],[ 5.17036334],0.071131176401556917,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.08011921],[ 1.17417387],[ 5.16805977],0.071131176401556917,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.60596969],[ 1.04593026],[ 5.17440314],0.071131176401556917,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.92028254],[ 5.15273452],0.071131176401556917,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.06190907],[ 0.80812231],[ 5.15786194],0.071131176401556917,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-4.7593146],[ 2.63050506],[ 12.09438465],0.12649110640673517,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-4.57185349],[ 3.1808888],[ 11.98285607],0.12649110640673517,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-4.24519554],[ 2.96235156],[ 11.58710059],0.12649110640673517,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-3.25571709],[ 3.22491519],[ 12.13842372],0.12649110640673517,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-1.73600079],[ 2.74337226],[ 12.03719685],0.12649110640673517,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-3.77969675],[ 2.45618084],[ 11.97186334],0.12649110640673517,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-4.11640579],[ 3.1472698],[ 10.88888347],0.12649110640673517,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-5.64624286],[ 2.19719404],[ 9.28123057],0.12649110640673517,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-1.38423267],[ 2.77164907],[ 12.22944435],0.12649110640673517,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-1.33694546],[ 1.7612753],[ 4.99442131],0.12649110640673517,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-1.88627277],[ 0.21685549],[ 4.17299995],0.22493653007613965,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-2.17386064],[ 0.29376726],[ 4.89280116],0.22493653007613965,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-3.63087122],[ 0.09490861],[ 4.61848175],0.22493653007613965,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-8.14575946],[ 0.00693867],[ 4.87351633],0.22493653007613965,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-1.35152181],[ 0.19389261],[ 5.12392287],0.22493653007613965,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-1.89474175],[ 0.26433403],[ 5.02504779],0.22493653007613965,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-2.86095704],[ 1.02698839],[ 8.28483456],0.22493653007613965,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-6.39971161],[ 1.82900031],[ 9.33465765],0.22493653007613965,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-1.49594645],[ 0.10102666],[ 3.25384395],0.22493653007613965,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-1.61804787],[ 0.11838742],[ 4.71616932],0.22493653007613965,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.00759726],[ 0.24551701],[ 4.04050958],0.40000000000000002,0.0,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.06099433],[ 0.23263102],[ 4.02476579],0.40000000000000002,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-5.51255593],[ 0.40450683],[ 4.80696789],0.40000000000000002,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.86335274],[ 0.41300548],[ 8.01442916],0.40000000000000002,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-2.92772204],[ 1.04460565],[ 5.57656984],0.40000000000000002,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-2.71420508],[ 0.38044594],[ 6.99580934],0.40000000000000002,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.19199208],[ 0.48719072],[ 6.83056364],0.40000000000000002,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.00691211],[ 0.09303309],[ 2.25982806],0.40000000000000002,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-3.57971427],[ 0.76083715],[ 7.54717612],0.40000000000000002,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9 -1.9]
[-0.08770948],[ 0.12098952],[ 3.10495871],0.40000000000000002,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9 -1.9]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.0,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.040000000000000001,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.071131176401556917,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.12649110640673517,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.22493653007613965,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.10620081],[ 0.10620081],0.0,0.40000000000000002,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.12314693],[ 0.14112868],0.0040000000000000001,0.0,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.12307534],[ 0.14097009],0.0040000000000000001,0.0040000000000000001,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.12302004],[ 0.14084766],0.0040000000000000001,0.007113117640155691,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.1229226],[ 0.14063206],0.0040000000000000001,0.012649110640673518,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
[ 0.10620081],[ 0.12275209],[ 0.14025526],0.0040000000000000001,0.022493653007613964,Plateau3D,SteepestDescent,[-1.9        -1.47777778]
